Plot_ID,Date Sampled,Chamber_ID,Core_ID,Sample_ID,Year,Location/Treatment,Site,Sand content (%),Clay content (%),Silt content (%),Bulk density (g/cm^3),Total porosity (%),Volumetric soil water content (%),Air-filled porosity (%),Water-filled pore space (%),Soil pH,Gravimetric soil water content (%),NH4 concentration (mg N/kg d.s.),NO3 concentration (mg N/kg d.s.),Chamber temperature (C),CH4 at Time 0 (PPM),CH4 at Time 0 (mol/cm^3),CH4 (mg CH4-C/m^2/day),CH4_A (mol/cm^2/min),CO2 (mg CO2-C/m2/day),Diffusivity (cm^2/s),Mu (/min)
KZ20,6/30/2011,KZ20_1,139,49,2011,20Y,KZ,10.03428388,34.60219851,55.36351761,1,62.26415094,12.78728606,49.47686488,20.5371564,6.42,12.78728606,8.507131671,0.833433594,23.55905503,1.862409017,8.20044E-11,-1.570561064,-9.08133E-12,1.240820799,0.787764077,0.031464856
ORU,8/6/2013,ORU_5,2813,2792,2013,Upland,OR,38.7279597,33.6996222,27.5724181,1.18,55.47169811,15.1635514,40.30814671,27.33565389,6.53,12.85046729,6.62721816,3.795196039,16.98373457,1.819890361,8.01323E-11,-0.863352386,-4.99209E-12,2.046152856,0.13421783,0.07173767
KZC,7/31/2012,KZC_4,1642,1609,2012,Control,KZ,22.54545455,34.63636364,42.72727273,1,62.26415094,12.85347044,49.4106805,20.64345252,7.74,12.85347044,5.493633844,1.367694259,32.64955519,1.800435666,7.92757E-11,-0.309219477,-1.78797E-12,0.938156947,n/a,n/a
NMU,7/19/2013,NMU_2,2666,2645,2013,Upland,NM,29.50667443,29.372219,41.1211066,0.85,67.9245283,10.93567252,56.98885578,16.0997401,7.63,12.86549708,6.769143141,1.493892584,22.11111111,1.838814692,8.09655E-11,-1.32008412,-7.63301E-12,5.046308015,n/a,n/a
NML,9/10/2013,NML_2,2996,2951,2013,Lowland,NM,23.52633695,23.5303579,52.9433052,0.93,64.90566038,11.96957878,52.93608159,18.44150219,6.46,12.87051482,2.999582429,0.299678321,22.7,1.842184602,8.11139E-11,-1.720361466,-9.94751E-12,6.252291944,0.351069392,0.080926905
NMU,7/23/2012,NMU_3,1575,1542,2012,Upland,NM,33.03147811,26.2050738,40.7634481,0.85,67.9245283,10.94949099,56.97503731,16.12008396,6.36,12.88175411,4.405219279,0.483840272,24.70405377,1.998994908,8.80185E-11,-1.449514433,-8.38141E-12,1.665378979,n/a,n/a
SGC,6/10/2011,SGC_6,283,312,2011,Control,SG,63.18179338,21.0389752,15.7792314,1.3,50.94339623,16.74628034,34.19711588,32.87232808,6.74,12.88175411,4.385873923,3.659928715,n/a,1.797283627,7.91369E-11,1.13045711,6.53655E-12,7.906644772,0.214974158,n/a
SGW,7/22/2013,SGW_2,2690,2669,2013,W,SG,54.60712865,26.701689,18.6911823,1.5,43.39622642,19.34349356,24.05273286,44.57413732,7.71,12.89566237,3.448977764,9.519386495,28.16666667,1.988442191,8.75538E-11,-1.00331959,-5.80141E-12,6.130969049,1.475851792,0.012368301
SGU,6/10/2011,SGU_1,272,211,2011,Upland,SG,58.64553314,23.2618876,18.0925793,1.31,50.56603774,16.95594542,33.61009231,33.53228013,6.4,12.94346979,0.92216767,3.417796173,-0.847716992,1.813227397,7.98389E-11,-0.329376252,-1.90453E-12,3.23372811,0.696874706,n/a
SVS,8/8/2011,SVS_4,553,533,2011,Short,SV,59.99257706,21.3372922,18.6701307,1.29,51.32075472,16.69822257,34.62253215,32.5369778,8.59,12.94435858,6.784421623,0.345433168,19.69545143,1.702863938,7.49794E-11,-1.598273858,-9.24157E-12,0.43409491,n/a,n/a
KZ4,7/31/2012,KZ4_2,1634,1601,2012,4Y,KZ,1.385544942,36.1586335,62.4558215,1,62.26415094,12.96006265,49.30408829,20.81464607,6.25,12.96006265,3.835215546,0.80100597,24.48085578,1.920195668,8.45488E-11,-1.129935862,-6.53354E-12,1.930302378,0.211926722,0.057149513
ORL,10/7/2012,ORL_3,1989,1944,2012,Lowland,OR,31.62241224,29.3046805,39.0729073,1.11,58.11320755,14.38727416,43.72593339,24.75732241,6.09,12.96150825,5.194115694,1.250310978,5.746372549,1.888870944,8.31696E-11,0.138510094,8.00896E-13,0.507256705,0.03212475,n/a
NML,7/23/2012,NML_2,1568,1535,2012,Lowland,NM,23.52633695,23.5303579,52.9433052,0.93,64.90566038,12.06486486,52.84079552,18.58830924,6.94,12.97297297,2.972098814,0.098228869,22.93737689,1.936029136,8.5246E-11,-0.505241397,-2.92142E-12,3.044770338,0.38945281,0.005707087
KZ4,7/9/2012,KZ4_4,1468,1435,2012,4Y,KZ,1.895959165,35.9714816,62.1325592,1,62.26415094,12.97591298,49.28823796,20.84010266,6.27,12.97591298,3.301928624,0.254925741,24.12892671,1.753664042,7.72162E-11,-0.842262122,-4.87014E-12,0.947660807,0.178065582,0.045325546
NMU,7/23/2012,NMU_6,1578,1545,2012,Upland,NM,32.3047987,29.4326962,38.2625051,0.85,67.9245283,11.03508772,56.88944058,16.24610136,6.84,12.98245614,3.630105602,0.265180591,24.30183155,1.936745153,8.52775E-11,-0.810703102,-4.68766E-12,2.038224537,n/a,n/a
NML,8/31/2012,NML_4,1870,1825,2012,Lowland,NM,23.67751333,27.4760952,48.8463915,0.93,64.90566038,12.08412322,52.82153716,18.61798054,6.463333333,12.99368088,5.861508688,2.965992873,n/a,2.07379902,9.13122E-11,-1.359495415,-7.8609E-12,1.297358562,0.315818268,0.044426127
SGN,8/5/2013,SGN_5,2777,2756,2013,N,SG,70.43345448,16.1272066,13.4393389,1.5,43.39622642,19.5093458,23.88688062,44.95631857,5.42,13.00623053,16.44880751,14.07094436,21.77777778,1.844861699,8.12318E-11,-0.374487996,-2.16537E-12,2.113758643,2.891608528,0.001028759
SVC,7/30/2013,SVC_2,2756,2735,2013,Control,SV,63.53077197,15.6296692,20.8395589,1.29,51.32075472,16.77803738,34.54271733,32.69249931,8.32,13.00623053,0.934815309,3.489625609,29.05555556,1.779479012,7.83529E-11,-1.194037391,-6.90419E-12,2.15905671,1.029963177,0.021824107
NMU,7/23/2012,NMU_1,1573,1540,2012,Upland,NM,32.08163681,26.5767508,41.3416124,0.85,67.9245283,11.05850655,56.86602176,16.28057908,7.26,13.0100077,4.070396012,0.247484621,24.28405377,1.94629419,8.5698E-11,-1.389060417,-8.03185E-12,1.792777987,n/a,n/a
SGNW,7/22/2013,SGNW_2,2684,2663,2013,NW,SG,64.35244968,21.936954,13.7105963,1.5,43.39622642,19.52973183,23.86649459,45.00329509,6.67,13.01982122,1.505653934,13.81166554,22.27777778,1.917642579,8.44364E-11,-1.037583549,-5.99953E-12,3.828257355,0.668733477,0.031632513
NML,8/6/2012,NML_6,1668,1623,2012,Lowland,NM,21.26148705,24.2272348,54.5112782,0.93,64.90566038,12.12882704,52.77683334,18.68685561,6.51,13.0417495,2.7897571,1.722017818,21.0237664,n/a,n/a,n/a,n/a,n/a,n/a,n/a
NML,7/23/2012,NML_3,1569,1536,2012,Lowland,NM,26.65133792,20.5376254,52.8110367,0.93,64.90566038,12.13840694,52.76725344,18.70161534,6.67,13.05205047,3.467044356,0.583089993,23.39862689,2.128599023,9.37251E-11,-1.890430733,-1.09309E-11,8.535118481,0.075888331,0.33967134
ORU,9/9/2012,ORU_3,1887,1842,2012,Upland,OR,43.77901978,31.2338779,24.9871023,1.18,55.47169811,15.40530008,40.06639803,27.77145933,6.636666667,13.05533905,2.625430739,0.116304755,16.35201235,1.715943066,7.55553E-11,-0.338531592,-1.95746E-12,0.417471376,2.292909336,0.000730617
SGNW,6/23/2011,SGNW_4,100,346,2011,NW,SG,48.98901387,34.9022537,16.1087325,1.5,43.39622642,19.59302325,23.80320317,45.14914053,6.94,13.0620155,9.902592392,1.30419408,21.19093809,1.539619503,6.77916E-11,-0.044903021,-2.59639E-13,5.657451299,n/a,n/a
KZ4,7/31/2012,KZ4_6,1638,1605,2012,4Y,KZ,2.548701299,36.9642857,60.487013,1,62.26415094,13.07214895,49.19200199,20.99466347,6.4,13.07214895,6.125612236,1.096494648,24.47469915,1.933017508,8.51134E-11,-0.791484308,-4.57654E-12,3.030420728,0.045322719,0.129678256
NMU,8/6/2012,NMU_5,1673,1628,2012,Upland,NM,36.64002031,24.1371351,39.2228446,0.85,67.9245283,11.12149533,56.80303297,16.37331257,7.72,13.08411215,5.036087272,0.726433441,20.12379122,1.818889348,8.00882E-11,-0.594668237,-3.4385E-12,n/a,0.130280103,0.024908747
NMU,9/10/2013,NMU_4,3004,2959,2013,Upland,NM,31.69022521,26.7299119,41.5798629,0.85,67.9245283,11.12460815,56.79992016,16.37789533,7.71,13.08777429,4.239392829,0.242835615,25.6,1.87448626,8.25362E-11,-1.121523943,-6.4849E-12,5.902186471,0.111799854,0.09721386
NMU,8/31/2012,NMU_4,1876,1831,2012,Upland,NM,31.69022521,26.7299119,41.5798629,0.85,67.9245283,11.12617924,56.79834906,16.38020833,7.25,13.08962264,4.763034826,0.758759147,21.18493813,2.209360334,9.72812E-11,-1.202705247,-6.9543E-12,1.599624567,0.30002505,0.029988632
SGN,6/10/2011,SGN_5,293,353,2011,N,SG,70.43345448,16.1272066,13.4393389,1.5,43.39622642,19.65962442,23.736602,45.30261279,4.97,13.10641628,1.359714767,1.03459805,n/a,2.423928177,1.06729E-10,-0.675184464,-3.90406E-12,6.788989765,n/a,n/a
KZ20,7/9/2012,KZ20_2,1460,1427,2012,20Y,KZ,13.14624222,34.7415031,52.1122547,1,62.26415094,13.1403989,49.12375204,21.10427702,6.16,13.1403989,7.054313179,1.028345636,23.08537941,1.674782746,7.3743E-11,-0.084686754,-4.89677E-13,1.88244376,0.3628142,0.000247402
NML,9/10/2013,NML_6,3000,2955,2013,Lowland,NM,21.26148705,24.2272348,54.5112782,0.93,64.90566038,12.22138911,52.68427127,18.82946578,6.69,13.14127861,3.305282925,0.58795476,25.4,1.877315532,8.26608E-11,-1.01510373,-5.86955E-12,4.328660962,1.157428058,0.008268674
NML,8/6/2012,NML_5,1667,1622,2012,Lowland,NM,13.76870556,23.7879433,62.4433511,0.93,64.90566038,12.22535212,52.68030826,18.83557157,6.69,13.14553991,3.654022075,0.979752425,20.9237664,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SHL,4/20/2012,SHL_5,1079,1046,2012,Lowland,SH,94.69010511,2.65494744,2.65494744,1.38,47.9245283,18.15076561,29.7737627,37.87364477,6.14,13.1527287,6.48759162,4.355334657,6.910793945,1.93894412,8.53744E-11,-0.117145567,-6.77361E-13,4.260150018,0.071257907,0.002967009
SGNW,10/8/2013,SGNW_3,3093,3048,2013,NW,SG,61.19739862,24.9445295,13.8580719,1.5,43.39622642,19.8068585,23.58936792,45.64189131,6.64,13.20457233,0.77578785,9.11818212,8.222222222,1.928463051,8.49129E-11,-0.306265953,-1.7709E-12,0.980209458,0.773294154,0.002384396
NMU,7/19/2013,NMU_6,2670,2649,2013,Upland,NM,32.3047987,29.4326962,38.2625051,0.85,67.9245283,11.29980276,56.62472554,16.63582073,6.7,13.2938856,8.481080572,1.512096014,22,1.804371903,7.9449E-11,-1.384770551,-8.00705E-12,4.132472675,n/a,n/a
SGU,6/10/2011,SGU_2,273,212,2011,Upland,SG,64.07862408,15.3948754,20.5265005,1.31,50.56603774,17.46329212,33.10274562,34.535615,6.35,13.33075734,1.002423211,2.68001616,-1.390579298,1.878251078,8.2702E-11,-0.54771586,-3.16701E-12,4.010780747,0.099077117,0.044712663
KZC,8/15/2012,KZC_6,1704,1659,2012,Control,KZ,22.54545455,34.63636364,42.72727273,1,62.26415094,13.34106729,48.92308365,21.42656262,6.33,13.34106729,2.555601274,3.562126787,25.61076495,2.118111116,9.32633E-11,-0.434987063,-2.51519E-12,0.29372374,0.795932016,0.001867798
SGN,10/8/2013,SGN_2,3086,3041,2013,N,SG,60.76249544,23.5425027,15.6950018,1.5,43.39622642,20.01160094,23.38462548,46.11368911,5,13.34106729,14.13980948,48.63391913,7.888888889,1.904032091,8.38371E-11,-0.406013944,-2.34766E-12,0.633310837,0.556315893,0.006027623
NMU,7/19/2013,NMU_3,2667,2646,2013,Upland,NM,33.03147811,26.2050738,40.7634481,0.85,67.9245283,11.37323944,56.55128887,16.74393584,6.63,13.38028169,4.826157721,1.776444489,22.72222222,1.880769221,8.28128E-11,-1.271423033,-7.35165E-12,3.223392706,n/a,n/a
MAU,10/27/2013,MAU_4,3160,3115,2013,Upland,MA,22.28543849,38.8572808,38.8572808,0.82,69.05660377,11.0073501,58.04925368,15.93960533,8.16,13.42359768,2.560419908,1.50587178,9.088601839,1.811185333,7.9749E-11,-0.349896213,-2.02318E-12,0.637750468,0.076483865,0.014496088
ORU,8/6/2013,ORU_3,2811,2790,2013,Upland,OR,43.77901978,31.2338779,24.9871023,1.18,55.47169811,15.85493461,39.61676351,28.58202497,6.45,13.43638526,4.317631562,0.186379857,17.47873457,1.804650616,7.94612E-11,-0.357096919,-2.06481E-12,1.761177804,0.448660729,0.003798862
SGL,6/23/2011,SGL_3,77,201,2011,Lowland,SG,44.84369353,34.1443802,21.0119263,1.24,53.20754717,16.66174757,36.5457996,31.31463195,6.254,13.4368932,6.711368397,1.204588876,26.34198835,1.256039017,5.53051E-11,0.008256859,4.7743E-14,5.870635185,1.038334167,n/a
KZC,8/15/2012,KZC_5,1703,1658,2012,Control,KZ,22.54545455,34.63636364,42.72727273,1,62.26415094,13.47047113,48.79367981,21.63439303,7.06,13.47047113,2.94815181,1.325194596,25.5947906,2.035665198,8.96331E-11,-0.363716125,-2.10309E-12,0.222334211,0.299121572,0.003771948
