ecosystem,pref,suff,gas,estimate,p.value,average_temp_kelvin,h1,h2,h3,h4,diameter_cm2,base_vol_l,total_vol_l,total_vol_m3,flux,units
NWdP,1,1,co2,9.328368803554143,0.06434855747242028,295.75,13,10,9.5,13,25.4,5.763797575,8.223797575,0.008223797575,1.0503096309622955,umol_m2_s1
NWdP,1,2,co2,11.191113114549625,0.07606888502707967,296.1,13,10,9.5,13,25.4,5.763797575,8.223797575,0.008223797575,1.2585523104155782,umol_m2_s1
NWdP,2,1,co2,10.120929288557962,0.12587392189983518,297.7,14,11,7,9.5,25.4,5.257090096,7.717090096,0.007717090096,1.0623291730583868,umol_m2_s1
NWdP,2,2,co2,22.81410626092274,0.0248100214540238,296.75,14,11,7,9.5,25.4,5.257090096,7.717090096,0.007717090096,2.402316833144994,umol_m2_s1
NWdP,3,1,co2,10.61958147501423,0.0475444945742423,300.55,14,12,11,13,25.4,6.333843489,8.793843489,0.008793843489,1.258152781920759,umol_m2_s1
NWdP,3,2,co2,22.908885348778583,0.01577468839234147,302.45,14,12,11,13,25.4,6.333843489,8.793843489,0.008793843489,2.697075370993099,umol_m2_s1
PrP,1,1,co2,-13.371542268785891,0.05897481443177941,300.75,5.5,5.25,6,5.5,25.4,2.818560352,5.278560352,0.005278560352,-0.9502882038761734,umol_m2_s1
PrP,1,2,co2,20.342394441770317,0.35874047442003365,299.95,5.5,5.25,6,5.5,25.4,2.818560352,5.278560352,0.005278560352,1.44954825553993,umol_m2_s1
PrP,2,1,co2,7.35563048764453,0.01459004349978219,303.8,6,4.5,5.5,5.75,25.4,2.755221918,5.215221918,0.005215221918,0.5112918961602596,umol_m2_s1
PrP,2,2,co2,16.91313804199915,0.4073426356429964,302.2,6,4.5,5.5,5.75,25.4,2.755221918,5.215221918,0.005215221918,1.181861289784025,umol_m2_s1
PrP,3,1,co2,8.864485647712764,0.0684236989792623,306.05,5.25,6,5.5,6,25.4,2.881898787,5.341898787,0.005341898787,0.6264995941006013,umol_m2_s1
PrP,3,2,co2,19.85679882597878,0.4439034145367036,306.05,5.25,6,5.5,6,25.4,2.881898787,5.341898787,0.005341898787,1.4033838960326903,umol_m2_s1
SWdP,1,1,co2,14.619796075903622,0.05506129156601173,300.15,6,5.5,6,6,25.4,2.97690644,5.43690644,0.00543690644,1.0723061781920369,umol_m2_s1
SWdP,1,2,co2,9.959831825208523,0.2010958522841272,299.95,6,5.5,6,6,25.4,2.97690644,5.43690644,0.00543690644,0.7310026982662579,umol_m2_s1
SWdP,2,1,co2,14.600470315033675,0.0237748538544078,304.45,5,5,5,5,25.4,2.533537395,4.993537395,0.004993537395,0.9696682042586904,umol_m2_s1
SWdP,2,2,co2,13.87157125697458,0.3056909136546634,304.15,5,5,5,5,25.4,2.533537395,4.993537395,0.004993537395,0.9221681624782488,umol_m2_s1
SWdP,3,1,co2,16.74716322908871,0.06633511761658355,302,5.5,5.5,5.5,6,25.4,2.85022957,5.31022957,0.00531022957,1.1923715040581218,umol_m2_s1
SWdP,3,2,co2,11.130700783438156,0.32271495339985506,302.8,5.5,5.5,5.5,6,25.4,2.85022957,5.31022957,0.00531022957,0.7903945108731176,umol_m2_s1
WtP,1,1,co2,4.863353372101066,0.5547927263132635,306.45,5.5,5.5,5,5,25.4,2.622211204,5.082211204,0.005082211204,0.3265824867534974,umol_m2_s1
WtP,1,2,co2,20.147994517629865,0.4123878682125731,305.15,5.5,5.5,5,5,25.4,2.622211204,5.082211204,0.005082211204,1.358736181888523,umol_m2_s1
WtP,2,1,co2,25.88284156068842,0.00323688645461961,306.7,6.5,4.5,5.75,5,25.4,2.755221918,5.215221918,0.005215221918,1.7821118274871839,umol_m2_s1
WtP,2,2,co2,13.240604669462234,0.4645892900427779,306.15,6.5,4.5,5.75,5,25.4,2.755221918,5.215221918,0.005215221918,0.913293422151539,umol_m2_s1
WtP,3,1,co2,12.476077146386013,0.04130955875471499,300.1,5.5,4.3,5.3,5.2,25.4,2.571540456,5.031540456,0.005031540456,0.8469875108436226,umol_m2_s1
WtP,3,2,co2,14.329678057427971,0.387892794548149,298.35,5.5,4.3,5.3,5.2,25.4,2.571540456,5.031540456,0.005031540456,0.9785326961080979,umol_m2_s1
WtP,4,1,co2,2.850631319622386,0.570769375813808,302.05,5.3,5.2,5,5.2,25.4,2.622211204,5.082211204,0.005082211204,0.19421327107879963,umol_m2_s1
WtP,4,2,co2,18.658360182007055,0.4024103795050049,303.6,5.3,5.2,5,5.2,25.4,2.622211204,5.082211204,0.005082211204,1.2647025550064137,umol_m2_s1
