ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,-3.3120981224648004e-4,0.001050913953432871,-0.3151635880031511,0.7732876969957049
NWd,1,2,min_elapsed,3.79628070763425e-4,7.284124474735525e-4,0.5211718609149779,0.6382737511539409
NWd,1,3,min_elapsed,-4.43412018535496e-4,4.14852317518501e-4,-1.0688430552535635,0.36350390912502784
NWd,1,4,min_elapsed,0.0025771120149159746,6.258985186072556e-4,4.117459841014712,0.025958182384573567
NWd,2,1,min_elapsed,0.0013482636570091664,3.7815707581220884e-4,3.56535350849473,0.037676331179797816
NWd,2,2,min_elapsed,0.0017250378137526666,0.0016925815555069777,1.019175594901226,0.38314894996082505
NWd,2,3,min_elapsed,2.1731778759898342e-4,1.2307456030641016e-4,1.7657409220714861,0.17561754882460878
NWd,2,4,min_elapsed,1.2813598223720323e-4,6.851356524895705e-4,0.18702279143056824,0.8635760978408793
NWd,3,1,min_elapsed,-4.011604109995648e-4,8.084285275789496e-4,-0.49622248264907776,0.6538168038954215
NWd,3,2,min_elapsed,0.0012461869823785468,2.3686594836208106e-4,5.261148725664799,0.013379605217106237
NWd,3,3,min_elapsed,0.0010837416854846305,0.002769889787957337,0.391258053008614,0.7217398730612912
NWd,3,4,min_elapsed,0.002227408168483129,5.846756971554994e-4,3.809647261412904,0.0317956211680984
Pr,1,1,min_elapsed,0.0022516487406921176,0.0016611787912944802,1.3554523766448472,0.26829288650984456
Pr,1,2,min_elapsed,6.163673713962906e-4,9.490381397123975e-4,0.6494653329560375,0.562330199790616
Pr,1,3,min_elapsed,0.002434730526395226,0.0020955592341082483,1.1618524004315773,0.3293311884863685
Pr,1,4,min_elapsed,1.7029152171444966e-5,0.0011218938123855986,0.015178934034081284,0.9888424580097547
Pr,2,1,min_elapsed,0.00325833623083706,0.0015123817687181823,2.1544402995539014,0.12020360377418705
Pr,2,2,min_elapsed,0.001316469314827338,7.684986790601475e-4,1.7130404393633356,0.1852223957494444
Pr,2,3,min_elapsed,0.0014538481702401132,9.698009073240121e-4,1.4991202413408138,0.23079514373487464
Pr,2,4,min_elapsed,0.0015532731659768189,6.856717527808637e-4,2.2653305458147335,0.10839105639372239
Pr,3,1,min_elapsed,-1.8029009173953141e-4,3.2988900273296683e-4,-0.5465174353977168,0.622734888757836
Pr,3,2,min_elapsed,5.090441478806901e-4,0.001471955510898874,0.3458284874179613,0.752302587877483
Pr,3,3,min_elapsed,0.002562850795445396,4.537024305775801e-4,5.648748216276451,0.010981550814209306
Pr,3,4,min_elapsed,-6.615508751397214e-4,4.2570637572076047e-4,-1.5540074400334134,0.21801280507034373
SWd,1,1,min_elapsed,2.6386877083897945e-4,0.004405544766482535,0.05989469743821419,0.9560061586895695
SWd,1,2,min_elapsed,0.0015371075049518486,6.281703951655734e-4,2.4469594823020864,0.09192806576237679
SWd,1,3,min_elapsed,0.0024288640074021507,0.0012829085728679912,1.893247935799768,0.1546579340020618
SWd,1,4,min_elapsed,0.001218630561186871,2.0693633990804926e-4,5.888915217734889,0.00977289391689598
SWd,2,1,min_elapsed,-5.628048041409256e-4,1.3176298319066002e-4,-4.271342303525045,0.023555561243739392
SWd,2,2,min_elapsed,1.4885669472519222e-4,7.034284092120831e-4,0.21161598362501172,0.8459675264773523
SWd,2,3,min_elapsed,9.630904626687651e-4,5.737882554507709e-4,1.6784771272673689,0.19184656963826116
SWd,2,4,min_elapsed,0.0017042699353195451,0.0012271081682873291,1.388850615914479,0.2590245996315769
SWd,3,1,min_elapsed,0.003754944336071125,0.001576759765338565,2.381430842297562,0.09749183959492855
SWd,3,2,min_elapsed,-0.004390599715794222,0.004034302545079501,-1.0883169189056692,0.3560708786205856
SWd,3,3,min_elapsed,0.0026385472189044304,7.862207964815919e-4,3.3559875682660194,0.043863572530740774
SWd,3,4,min_elapsed,0.0014564650191347351,0.00270131423114685,0.5391690468074086,0.6272136447943866
Wt,1,1,min_elapsed,1.012151955552123e-4,4.3362213423021585e-4,0.23341796362608136,0.8304573568442738
Wt,1,2,min_elapsed,2.336830094970398e-4,0.0014771400223706937,0.15819963304629506,0.8843485855202422
Wt,1,3,min_elapsed,-1.4569518988069983e-4,0.0010157969377487645,-0.14342944388431933,0.8950433208157099
Wt,1,4,min_elapsed,-1.624773032884584e-4,8.139463771070673e-4,-0.19961671660231,0.8545447309036523
Wt,2,1,min_elapsed,0.007578765075983634,5.655625561031406e-4,13.400401059439142,8.984182049422642e-4
Wt,2,2,min_elapsed,4.293757957219006e-4,7.373311882032459e-4,0.582337764347414,0.6012167101056513
Wt,2,3,min_elapsed,-1.2484839808227038e-4,7.703253327646528e-4,-0.16207229954933033,0.8861428228355275
Wt,2,4,min_elapsed,9.819296485176828e-5,0.0029557029740078433,0.033221526559085064,0.9755846708660139
Wt,3,1,min_elapsed,9.648503499795893e-4,8.145648408702427e-4,1.1844979080471834,0.3215084378852046
Wt,3,2,min_elapsed,-2.9480609137596116e-4,9.412501280377845e-4,-0.3132069601844737,0.7746358451329176
Wt,3,3,min_elapsed,-0.001116923131692665,0.0028633307698357185,-0.3900782764810464,0.7225251955455055
Wt,3,4,min_elapsed,2.4012858394725702e-4,8.498437358283185e-4,0.2825561615903546,0.7958905323822751
Wt,4,1,min_elapsed,-1.1410875753215593e-4,3.508026672028273e-4,-0.325279047739339,0.7663352056006342
Wt,4,2,min_elapsed,7.227189172079806e-4,8.229694262123656e-4,0.8781844065996741,0.47246513103294707
Wt,4,3,min_elapsed,8.284587960567593e-4,0.0013007462503399005,0.6369103857422408,0.5694580351798039
Wt,4,4,min_elapsed,0.0015377486390006,0.0016765397395588756,0.9172157406809852,0.4266683832288194
