ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,-0.0023952276599845885,0.0017042966652342196,-1.4054053550914007,0.2545581298838352
NWd,1,2,min_elapsed,-0.0075989439651752725,0.0020041209658338832,-3.7916593333045,0.03218667652741456
NWd,1,3,min_elapsed,-0.005241440938689565,4.8353623462343436e-4,-10.8398100563683,0.001679799343707322
NWd,1,4,min_elapsed,8.37137530593e-4,0.004137077661841991,0.2023499675421305,0.8525885387043795
NWd,2,1,min_elapsed,-0.008275606957118957,0.0018772195282693162,-4.408438561657501,0.021651918919740918
NWd,2,2,min_elapsed,-0.004249479631231823,3.6678541089126806e-4,-11.58573788664556,0.0013809340733785247
NWd,2,3,min_elapsed,-0.005826072736870761,0.0017061582529437486,-3.4147317382890185,0.042004717979933576
NWd,2,4,min_elapsed,-0.005768307432069246,9.086602575089166e-4,-6.348145398020384,0.007907385337739022
NWd,3,1,min_elapsed,-0.00511626695331163,0.0021229263102493863,-2.4100068516794666,0.0950164509482259
NWd,3,2,min_elapsed,-0.003845240163289643,0.0030916853713989162,-1.2437359243802226,0.30192718492844245
NWd,3,3,min_elapsed,-0.006276068559948829,0.0017093735269097191,-3.671560639701132,0.03496204221638701
NWd,3,4,min_elapsed,-0.007486076192066352,0.0016988451220020491,-4.406567788383315,0.02167652861901959
Pr,1,1,min_elapsed,0.0019743934433032054,0.003426793493599856,0.5761635321739507,0.6048882190034481
Pr,1,2,min_elapsed,-4.567127971082421e-5,0.0031130515181414255,-0.014670903916839506,0.9892158581294679
Pr,1,3,min_elapsed,-6.048474255457853e-4,0.0017112440467674493,-0.35345480189593403,0.7471268707698369
Pr,1,4,min_elapsed,-0.0014736600889614273,0.003186484877849618,-0.46247201711370395,0.6752216902348
Pr,2,1,min_elapsed,-0.0011901285408811536,0.004029822098543347,-0.29533029294552415,0.7870018867605288
Pr,2,2,min_elapsed,-0.00470048669076674,0.0017002973294613338,-2.7645086593507076,0.06988833957021633
Pr,2,3,min_elapsed,0.0013867264348606505,0.0019748088902306706,0.7022079157739014,0.5331287722413165
Pr,2,4,min_elapsed,-0.0011688803122801674,9.466628192616425e-4,-1.234737742411649,0.3048209145044144
Pr,3,1,min_elapsed,-0.0010354520531916872,0.0013154947082782292,-0.7871198923688012,0.4886668208013201
Pr,3,2,min_elapsed,0.00839163742115097,0.007461259875119062,1.1246944298421266,0.34258370467224875
Pr,3,3,min_elapsed,0.0024896120504304567,0.0022741618555801846,1.0947382853694494,0.35365266309977256
Pr,3,4,min_elapsed,-0.0021538763280570094,0.0027378103726151647,-0.7867149418385834,0.48887135194244513
SWd,1,1,min_elapsed,0.006994055204694983,0.005811085814092486,1.20357114461013,0.3150659385557494
SWd,1,2,min_elapsed,-0.0027816676417821815,0.002375959376832022,-1.1707555562212975,0.3262329748784244
SWd,1,3,min_elapsed,-2.1511990052145577e-5,6.710819815806105e-4,-0.03205568118738344,0.9764410814709767
SWd,1,4,min_elapsed,-6.252059164221794e-4,0.003068289798959706,-0.20376364600050278,0.8515773237694643
SWd,2,1,min_elapsed,9.564574255781656e-4,0.0015043000527634007,0.6358155899955945,0.5700827784894883
SWd,2,2,min_elapsed,-0.0016431744929763631,0.0025077520566507343,-0.6552380202893461,0.5590755368999479
SWd,2,3,min_elapsed,-0.004405813091355623,0.0012020177546381264,-3.665347765750778,0.03511380123548198
SWd,2,4,min_elapsed,-0.0026752454415573715,6.549542844100344e-4,-4.084629271441689,0.026511203929483425
SWd,3,1,min_elapsed,-0.002070434625233386,0.002558072960292021,-0.8093727807501753,0.47753810134570446
SWd,3,2,min_elapsed,0.0021836485746313085,0.004934921465743846,0.4424890223257412,0.6880941571901341
SWd,3,3,min_elapsed,-0.007229993220569354,0.0026580437562808497,-2.7200429652390685,0.07254676212382255
SWd,3,4,min_elapsed,-0.013558927096273059,0.003327603103878368,-4.074682789083211,0.026681741918344073
Wt,1,1,min_elapsed,-0.004651597890471541,0.0013975982909679562,-3.328279606903291,0.04477659248890943
Wt,1,2,min_elapsed,-0.007744505530762961,0.007254108438024057,-1.0676026691534382,0.36398244825488074
Wt,1,3,min_elapsed,-0.003811006572807111,0.001272679467344985,-2.994474783786279,0.057923439368665126
Wt,1,4,min_elapsed,-6.637922052603181e-5,0.0032812462791943216,-0.02022988062399589,0.9851302619520566
Wt,2,1,min_elapsed,-0.0013282794496255888,4.4919727733226634e-4,-2.957006902432926,0.059687345230460646
Wt,2,2,min_elapsed,9.650140903553435e-4,0.002283069102072496,0.42268282176800304,0.7009940971185432
Wt,2,3,min_elapsed,NA,NA,NA,NA
Wt,2,4,min_elapsed,-0.00384669960304843,0.003557812106321486,-1.081198075697604,0.35877070423844515
Wt,3,1,min_elapsed,0.0010140418526598627,0.0016964978287599686,0.5977265844195406,0.5921345593699818
Wt,3,2,min_elapsed,-0.005095828776434661,0.002224547027020202,-2.2907264780374472,0.10588571744509673
Wt,3,3,min_elapsed,-0.004548388020088319,0.0014585270925488356,-3.118480310255893,0.052533579595942244
Wt,3,4,min_elapsed,5.676602257770851e-4,0.0027936880319859676,0.2031938495915554,0.8519848575280349
Wt,4,1,min_elapsed,-7.70630527681271e-4,0.0014041283592648307,-0.5488319658216685,0.6213287092667947
Wt,4,2,min_elapsed,0.0017757768410424282,0.002122395963407818,0.8366849879374808,0.464176019127415
Wt,4,3,min_elapsed,-2.0949908398498523e-4,0.00232662728761749,-0.09004411024488422,0.9339270797584969
Wt,4,4,min_elapsed,0.0010794745040001799,0.002194786190826959,0.49183583736393555,0.6565744925900558
