ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,3.868194083707359,0.5480695851564997,7.057852120370459,0.005846884166483684
NWd,1,2,min_elapsed,6.098969089267094,1.032335907467174,5.907930786047008,0.009684805537224336
NWd,1,3,min_elapsed,5.825601535868432,0.4502319497038126,12.939111806038719,9.965447745580202e-4
NWd,1,4,min_elapsed,8.292777311853701,0.6169107053032432,13.44242730846659,8.901277877042744e-4
NWd,2,1,min_elapsed,6.764464188278639,0.553485834902437,12.221566952063032,0.0011795616676882716
NWd,2,2,min_elapsed,7.7726294067951125,1.5793885161843055,4.92129031403448,0.016075752987266764
NWd,2,3,min_elapsed,4.696812926182665,0.2876046614816104,16.33079555104145,4.995940170856463e-4
NWd,2,4,min_elapsed,5.850190711998419,2.547159419572132,2.296750908893298,0.1053017095225375
NWd,3,1,min_elapsed,7.923504231995206,0.8529031104048208,9.29004025818877,0.0026399320415191507
NWd,3,2,min_elapsed,7.3869236461811925,1.0738074566122622,6.8791882573493,0.00629172712253774
NWd,3,3,min_elapsed,10.47372158731453,0.6916368795018891,15.143382167326898,6.252101822954205e-4
NWd,3,4,min_elapsed,4.638653692456319,3.445286695495288,1.3463766886283681,0.27087207973486604
Pr,1,1,min_elapsed,5.270907775274555,0.9034115394194382,5.834448139395931,0.010031092769879978
Pr,1,2,min_elapsed,6.7436949367194625,0.7509470408087101,8.98025369333241,0.0029144055915789236
Pr,1,3,min_elapsed,10.649568231330656,0.6828350318095388,15.596107017399058,5.728376062101813e-4
Pr,1,4,min_elapsed,5.345637910745751,0.783944798957741,6.818895817476952,0.006451872727330347
Pr,2,1,min_elapsed,5.41835401297792,1.4554118915577428,3.722900743361797,0.03373954552607498
Pr,2,2,min_elapsed,9.67123079666257,1.3571892337938654,7.125926551618571,0.005688309372933337
Pr,2,3,min_elapsed,7.552985158297627,1.1516756751197166,6.558257087015835,0.007209395928993875
Pr,2,4,min_elapsed,6.055303291591817,1.0608914636516373,5.707750037642101,0.010667242567597537
Pr,3,1,min_elapsed,10.381613232601175,1.0018389797193852,10.362556700987081,0.0019173377657959417
Pr,3,2,min_elapsed,8.338555990356493,0.5397791821713616,15.448087413844139,5.892962195057868e-4
Pr,3,3,min_elapsed,9.638435895219878,1.7696865752121158,5.446408437643603,0.012156065467211805
Pr,3,4,min_elapsed,7.589304139815731,1.2076237825432985,6.2844937715886875,0.008136261936771432
SWd,1,1,min_elapsed,9.607570618868763,1.219972296809606,7.875236711517033,0.004266071606342653
SWd,1,2,min_elapsed,1.4466538673401184,0.5080153281744384,2.8476579093365024,0.06523443641585466
SWd,1,3,min_elapsed,1.5643668434335765,0.7142200113604212,2.1903150549560007,0.11622009503790762
SWd,1,4,min_elapsed,0.518720968584413,1.2410326926071562,0.41797526501472426,0.7040804192060428
SWd,2,1,min_elapsed,3.2271072683803754,1.2688099815443123,2.5434125797564677,0.08442725523323957
SWd,2,2,min_elapsed,8.762894670856632,0.9734425517224187,9.00196386047793,0.0028939715537977186
SWd,2,3,min_elapsed,9.195109192059896,1.2187323481706906,7.544814253811918,0.004827468039878764
SWd,2,4,min_elapsed,2.2202129714485603,0.29457863569791093,7.536911039690532,0.0048420580568411505
SWd,3,1,min_elapsed,5.482092850734219,1.9737168303090749,2.7775478055156215,0.06913182631438879
SWd,3,2,min_elapsed,14.578556484133484,1.2749357112563293,11.43473851694662,0.0014353643137142188
SWd,3,3,min_elapsed,6.956451149051546,1.4385333468732469,4.835794153935938,0.01686343118262443
SWd,3,4,min_elapsed,10.993117980766582,1.03414023306872,10.630200459511641,0.0017790200307487695
Wt,1,1,min_elapsed,12.263548661129303,0.6456143624335198,18.995160849433713,3.1858519637363873e-4
Wt,1,2,min_elapsed,4.177522065890706,1.6506646412788626,2.5308121113287707,0.08536335073175591
Wt,1,3,min_elapsed,5.122092022232942,0.7721479367446572,6.633563049883244,0.006979016575818108
Wt,1,4,min_elapsed,10.527254083522847,0.8095775482641344,13.003391838243274,9.820437608705477e-4
Wt,2,1,min_elapsed,7.364085811272197,1.6028983727154422,4.594231260461528,0.01937797419346953
Wt,2,2,min_elapsed,8.827809875047155,0.7299894652853992,12.093064756209603,0.0012169500484656033
Wt,2,3,min_elapsed,NA,NA,NA,NA
Wt,2,4,min_elapsed,5.732499393596755,1.128504068423223,5.079733032426158,0.014738319375318313
Wt,3,1,min_elapsed,5.654440820029024,1.1546963114595319,4.8969073200570215,0.01629542328366475
Wt,3,2,min_elapsed,8.819205879208289,2.159782167619458,4.0833774865957615,0.02653258906332014
Wt,3,3,min_elapsed,5.9196914139556895,2.6155277064634204,2.263287595588114,0.1085956910360104
Wt,3,4,min_elapsed,8.776601067612699,1.2667722998436313,6.928317795310232,0.006165081738384819
Wt,4,1,min_elapsed,2.0142663337830093,0.6902598977963079,2.918127418692095,0.0615894645658738
Wt,4,2,min_elapsed,3.114637715946259,0.7181818553634067,4.336837101475117,0.02262023104895017
Wt,4,3,min_elapsed,3.428816552340433,0.5386292225392143,6.365819767773186,0.007845336422725337
Wt,4,4,min_elapsed,3.2130699948484085,0.41756563834415455,7.694766282948358,0.004561310334314013
