ecosystem,rep,term,estimate,std.error,statistic,p.value
BP,1,min_elapsed,-0.0012934012382499766,5.996154763437317e-4,-2.1570511257259977,0.16371186630514112
BP,2,min_elapsed,-0.001387493483951413,5.528596325559005e-4,-2.5096668344855533,0.1287993991470723
BP,3,min_elapsed,-9.390181935262636e-4,6.939797458011853e-4,-1.353091641661943,0.30867980866061095
BP,4,min_elapsed,-0.0012180331537709566,3.4317417241838937e-4,-3.5493147552082123,0.0710266380008835
BP,5,min_elapsed,-0.0011009090204609896,3.0587274478836813e-4,-3.599238700469057,0.06926847932038908
BP,6,min_elapsed,-0.0023805225697757547,6.906819377284429e-4,-3.44662635540313,0.17977215477610584
BP,7,min_elapsed,-0.001153949575380336,6.084726083164771e-4,-1.896469224100466,0.19835176779364186
BP,8,min_elapsed,-0.001291002885378968,4.585552282038201e-4,-2.8153705507532427,0.10640317474661608
BP,9,min_elapsed,-0.0010103493971476045,4.1991319752113714e-4,-2.406091075755595,0.13788824981319625
BP,10,min_elapsed,-0.00110109614929337,4.2927258960402795e-4,-2.5650278540007627,0.12428167050824583
BP,11,min_elapsed,-0.0012543477762802346,4.13349801644209e-4,-3.0345914556889397,0.09359617350853085
BP,12,min_elapsed,-0.0011162253900877757,4.3910687721545065e-4,-2.542035773081487,0.1261305912010188
EW,1,min_elapsed,-9.076611660853959e-4,5.368475568232937e-4,-1.6907242187266909,0.34003026274673165
EW,2,min_elapsed,-0.001080694825399528,5.595294155393965e-4,-1.931435230009701,0.30414275633239873
EW,3,min_elapsed,-0.0013553641930027995,1.6337015933882575e-4,-8.296277597378154,0.0763671697914579
EW,4,min_elapsed,-0.00133341365396242,5.090480369524056e-4,-2.619425981770538,0.2321667505523462
EW,5,min_elapsed,-0.0013569624674361878,9.499915102716916e-4,-1.4283943095955722,0.38883730882064904
EW,6,min_elapsed,-0.0013949713546923383,3.533336600837186e-4,-3.948028484922198,0.15792858971832296
EW,7,min_elapsed,-0.0012427792455513272,9.994664566750967e-4,-1.2434426760910555,0.4311877308892509
EW,8,min_elapsed,-0.0012792540541010796,5.590470066589698e-4,-2.288276368290173,0.2622868466271337
EW,9,min_elapsed,-0.0013659310538505526,5.850905301135945e-4,-2.3345635992183276,0.2576406380988348
EW,10,min_elapsed,-0.0012109195406755761,5.428322283474833e-4,-2.2307436394517643,0.2682865256631529
EW,11,min_elapsed,-8.995579058162946e-4,1.2725889885053409e-6,-706.8723004375731,9.006143645453489e-4
EW,12,min_elapsed,-0.0011114745815012188,4.3704076910921786e-4,-2.5431828334153828,0.23850169259999934
NW,1,min_elapsed,-8.680283355632719e-4,4.357044968066058e-4,-1.9922409383545099,0.1845634023097348
NW,2,min_elapsed,-8.304675112217133e-4,5.898035673000578e-4,-1.4080408415014207,0.29444146178943387
NW,3,min_elapsed,-9.701547441628732e-4,6.884421157797794e-4,-1.409203071581415,0.2941491758986293
NW,4,min_elapsed,-0.001456199044010792,5.768346621943393e-4,-2.524465222792366,0.12756957946952355
NW,5,min_elapsed,-0.0011887802108903134,4.6563338070882223e-4,-2.553039064941312,0.12524098592060107
NW,6,min_elapsed,-8.391854552941604e-4,3.716853157156366e-4,-2.257784797546836,0.15252475094172405
NW,7,min_elapsed,-0.0010739237838637364,2.0279202316696672e-4,-5.295690466974296,0.03385730051979029
NW,8,min_elapsed,-0.001340272958164383,3.9591699361954706e-4,-3.3852372587277886,0.07728133890852867
NW,9,min_elapsed,-9.940189865576393e-4,3.0295672297142226e-4,-3.2810593434211546,0.08167223533726282
NW,10,min_elapsed,-5.589983866524977e-4,3.956332512384302e-4,-1.412920640271499,0.2932166710714308
NW,11,min_elapsed,-8.636965282646834e-4,2.350642621640888e-4,-3.674299616254605,0.0667413443989797
NW,12,min_elapsed,-0.0015904396751690944,2.2375738656175257e-4,-7.107875630868458,0.019224468329600824
SP,1,min_elapsed,-8.64842269305901e-4,4.8099459656725284e-4,-1.798029074501211,0.21399531002181177
SP,2,min_elapsed,-0.001106143561633858,3.533150478916489e-4,-3.130757006344884,0.08866470516777811
SP,3,min_elapsed,-6.04309675072393e-4,5.694357953534655e-4,-1.061242865312463,0.3997891049806015
SP,4,min_elapsed,-0.001608896948206257,4.2971902573046237e-4,-3.744067290181897,0.06451040744154896
SP,5,min_elapsed,-0.0010861186305419542,5.105522786502432e-4,-2.1273406778505555,0.1672252668275729
SP,6,min_elapsed,-0.0011659298922969876,2.9933639402681875e-4,-3.895048900042964,0.060038670639668106
SP,7,min_elapsed,-9.706369996020561e-4,3.9065269257073835e-4,-2.484654574411504,0.13091597976928612
SP,8,min_elapsed,-9.77845363366102e-4,5.841449310772189e-4,-1.6739773151208588,0.23611242807824553
SP,9,min_elapsed,-6.142547256465677e-4,5.599750824141366e-4,-1.096932247410766,0.3871083782367084
SP,10,min_elapsed,-9.027809315200202e-4,4.802970156887891e-4,-1.8796305245106535,0.20091730442404332
SP,11,min_elapsed,-7.635445944266646e-4,4.2230868482258117e-4,-1.8080248450193304,0.21233382264989645
SP,12,min_elapsed,-0.0013092300647847342,3.290121342948505e-4,-3.9792759242473488,0.05773747586497285
SW,1,min_elapsed,-0.0010375108592345483,5.815528487932042e-4,-1.7840353828332451,0.21635028089815245
SW,2,min_elapsed,-0.0012849075606584984,4.895572358239466e-4,-2.624631946244124,0.11966197529680009
SW,3,min_elapsed,-0.0010914204593269559,4.6426206610254136e-4,-2.350871499128456,0.14310114026014698
SW,4,min_elapsed,-0.001139041033309229,3.66871241219206e-4,-3.10474331409545,0.08996137704813623
SW,5,min_elapsed,-0.0011118442147174277,3.8154416649347953e-4,-2.914064248277345,0.10034762079461687
SW,6,min_elapsed,-0.001266867361597322,3.256257555537026e-4,-3.890562524586261,0.06016496388964909
SW,7,min_elapsed,-0.0014085719486013506,3.1203810999538525e-4,-4.514102295460583,0.045734318114461193
SW,8,min_elapsed,-0.0010177714455106006,3.760951630272779e-4,-2.70615404175454,0.11372522124649931
SW,9,min_elapsed,-0.0013397924477362793,4.3716479485869035e-4,-3.064730882937075,0.09200932326423895
SW,10,min_elapsed,-0.0010419856965087244,3.4822985992485016e-4,-2.99223534918456,0.09589298202366311
SW,11,min_elapsed,-7.502229168482962e-4,2.540805435052256e-4,-2.9526972293841407,0.0981101230429187
SW,12,min_elapsed,-0.0014881987622565988,6.453858218364962e-4,-2.3059055713709546,0.14754975324547875
WW,1,min_elapsed,-0.0026421821971219055,7.542230131621233e-4,-3.5031842717771293,0.17701820015770114
WW,2,min_elapsed,-0.0017847300411754526,0.0010831221992844192,-1.6477642525973164,0.34725387728228546
WW,3,min_elapsed,-0.002558567527308546,6.136093393941635e-4,-4.169701083485306,0.14984745455719842
WW,4,min_elapsed,-0.0021141445352750683,4.1856057764818537e-4,-5.050988191850403,0.12442957574666438
WW,5,min_elapsed,-0.002201464275058915,5.6128994175795e-4,-3.9221516568851538,0.1589279176056834
WW,6,min_elapsed,-0.0016364452031400547,2.991046832884029e-4,-5.471145370071523,0.11508911606166275
WW,7,min_elapsed,-0.0016243720717978153,6.913956628634697e-4,-2.3494102712046967,0.2561831376507646
WW,8,min_elapsed,-0.002931284062865101,1.7799059337838876e-4,-16.46875830473528,0.038608805348664
WW,9,min_elapsed,-0.002046029662286356,3.4453716735611444e-4,-5.938487501905926,0.10620595647051392
WW,10,min_elapsed,-0.0017172495381015305,1.3004892793700752e-4,-13.204642016990126,0.04811996420136356
WW,11,min_elapsed,-0.0018361126227412394,0.0010619241909091456,-1.7290430319411856,0.333812659879048
WW,12,min_elapsed,-0.0015580884230244588,7.343418342882925e-4,-2.1217481427222826,0.2803882888301875
