ecosystem,rep,term,estimate,std.error,statistic,p.value
BP,1,min_elapsed,15.110833311500299,0.9965213722309193,15.163581768117599,6.227406689380063e-4
BP,2,min_elapsed,22.382160244606307,0.5268460403758619,42.48330352571019,2.8704521986033517e-5
BP,3,min_elapsed,22.57775320423277,0.4921732073937119,45.87359259922451,2.2805522766996893e-5
BP,4,min_elapsed,23.727169052495036,1.010052292707056,23.49103033953173,1.6902017575967746e-4
BP,5,min_elapsed,24.60312282576578,1.2454242033307787,19.754813468348267,2.8343933237205443e-4
BP,6,min_elapsed,23.46713293515342,0.8330679157790349,28.16953154798714,9.821212236468317e-5
BP,7,min_elapsed,17.37181662757452,1.3838351038180836,12.553386295552587,0.0010898200753011755
BP,8,min_elapsed,23.43674716787469,0.9962137955142767,23.525820735875183,1.6827466199842114e-4
BP,9,min_elapsed,26.361289587243203,1.3854633441182438,19.02705668768193,3.1699622074858987e-4
BP,10,min_elapsed,23.009369677013964,0.3975985763898403,57.8708552881074,1.1366438364363807e-5
BP,11,min_elapsed,23.90499801634834,0.6552172903192481,36.48407691546245,4.528843684877998e-5
BP,12,min_elapsed,23.529817536774882,0.8775393926488376,26.813403174700262,1.138268137407548e-4
EW,1,min_elapsed,17.343128632691393,0.595691772323613,29.114265864443798,8.898397471567829e-5
EW,2,min_elapsed,8.145882058657868,0.7187943066288368,11.332702531913835,0.0014737666290923386
EW,3,min_elapsed,13.015451407736958,0.1655236084197894,78.63199414266079,4.53335855590976e-6
EW,4,min_elapsed,22.9890840351571,0.7677790467532052,29.942317561769443,8.18226191488062e-5
EW,5,min_elapsed,19.56357938503445,1.0735704716099763,18.222911212988183,3.6051990072027534e-4
EW,6,min_elapsed,14.553938799757951,0.43855599823187535,33.18604433284464,6.014319099890948e-5
EW,7,min_elapsed,16.568954191848427,0.8147784641869579,20.335532810605237,2.599777721822305e-4
EW,8,min_elapsed,12.09897518770653,0.7274637807610734,16.63172175396632,4.7319013037924306e-4
EW,9,min_elapsed,13.90596853282204,1.0563938964058515,13.163620672302299,9.470977474592128e-4
EW,10,min_elapsed,17.58749033625105,0.6508996281119043,27.020280203981567,1.1124074585343893e-4
EW,11,min_elapsed,17.85479713883019,0.6336506914106587,28.177665361780196,9.812735272960498e-5
EW,12,min_elapsed,20.872450099679398,0.3423244393028089,60.97271390318795,9.719496771695753e-6
NW,1,min_elapsed,17.907978017022494,0.6462578972690499,27.710265658180496,1.031611771106932e-4
NW,2,min_elapsed,19.067530136634264,1.0243048749098917,18.61509263861664,3.383620007105988e-4
NW,3,min_elapsed,22.31015612949088,1.7277461272945194,12.912867103008006,0.001002547140349568
NW,4,min_elapsed,22.04383065461705,1.192782865860934,18.481008811864612,3.457283523542393e-4
NW,5,min_elapsed,20.029831496140865,0.587267026684284,34.10685529073463,5.541193659556244e-5
NW,6,min_elapsed,22.512947970615848,0.9070721212220895,24.819358289045827,1.434058364536901e-4
NW,7,min_elapsed,18.16795124731078,0.6457902403649901,28.132898442445565,9.859511983689351e-5
NW,8,min_elapsed,18.332794002518952,0.6626715779146719,27.664977061804137,1.0366705624190036e-4
NW,9,min_elapsed,16.03314492255071,1.000724311649818,16.021540334238594,5.288108962736548e-4
NW,10,min_elapsed,15.048991667965552,0.9335089805659026,16.120885798916152,5.19183069585276e-4
NW,11,min_elapsed,16.754047808202507,1.1390258638145079,14.709102172706176,6.816050408821159e-4
NW,12,min_elapsed,15.349657715962197,0.9142477388962343,16.789385483735234,4.600949908571621e-4
SP,1,min_elapsed,14.793434046107468,0.7039477629462222,21.014959951279234,2.3569811986810175e-4
SP,2,min_elapsed,14.914262903379203,1.0995804207904507,13.563594459655667,8.667874329336963e-4
SP,3,min_elapsed,13.823886013289828,1.2724104600630268,10.864329119555558,0.0016686769545763065
SP,4,min_elapsed,6.7864752032715545,3.672309377988185,1.8480129272194965,0.16174375082151027
SP,5,min_elapsed,13.996913982190936,0.6624761143747739,21.12817908220106,2.31949377365243e-4
SP,6,min_elapsed,19.65925921598431,0.6500487860151264,30.242744296928578,7.941460649812636e-5
SP,7,min_elapsed,11.269958146879127,0.670267014513025,16.81413213369479,4.580835448350765e-4
SP,8,min_elapsed,17.283820595029507,0.5082687487498034,34.00527897405219,5.590894746024983e-5
SP,9,min_elapsed,20.787589333588418,1.3284708272933636,15.64775748665946,5.672384987248165e-4
SP,10,min_elapsed,12.702671320042644,0.5620527595038758,22.600496315070664,1.8969869684731927e-4
SP,11,min_elapsed,24.848578486366556,0.4943609364557054,50.26404121757096,1.7341236161119217e-5
SP,12,min_elapsed,22.749796637329943,1.7830919263833953,12.758622424741072,0.0010388127107069484
SW,1,min_elapsed,18.99171989809424,1.1185501477395419,16.978872101956508,4.4498697080564705e-4
SW,2,min_elapsed,14.242465095445686,0.5259670414343005,27.07862655539556,1.105255593680969e-4
SW,3,min_elapsed,14.479335774105097,0.44129145608054926,32.811276027655914,6.222301371009724e-5
SW,4,min_elapsed,15.201671173992386,0.9311247830984544,16.32613743069602,5.000179550727186e-4
SW,5,min_elapsed,19.336139603774487,0.5858855091892473,33.0032733366831,6.114573335917417e-5
SW,6,min_elapsed,14.594495022535256,0.31533371905873897,46.28269715683865,2.220676881076775e-5
SW,7,min_elapsed,13.748691654109164,0.16075564707440543,85.52540395514448,3.5234786121844822e-6
SW,8,min_elapsed,15.412628213197468,0.24785601343618602,62.18379776033017,9.16293995103343e-6
SW,9,min_elapsed,29.080442261860156,0.8432083376593822,34.487849518403756,5.3599344687105274e-5
SW,10,min_elapsed,24.859308985499453,0.8772719350157412,28.337061740215585,9.648563678725297e-5
SW,11,min_elapsed,16.39682522759174,0.4250848462274156,38.57306458489848,3.8332620887705234e-5
SW,12,min_elapsed,13.425138582419367,0.8912029519001826,15.064064311944763,6.350341827830586e-4
WW,1,min_elapsed,21.058156615680947,0.7881495504275997,26.71847824344521,1.150402504301536e-4
WW,2,min_elapsed,18.614222544767195,0.9723123865655364,19.144282024954485,3.1124615145589264e-4
WW,3,min_elapsed,14.866697125405612,0.9308918482450805,15.97038061234755,5.338616688655131e-4
WW,4,min_elapsed,21.342413324185046,0.6209124436061264,34.37266162718995,5.4138913089332526e-5
WW,5,min_elapsed,10.742055529347745,0.34601048585851946,31.045462401795746,7.34271336196168e-5
WW,6,min_elapsed,12.60663581696796,0.5618300100502861,22.4385233815467,1.9381676998026705e-4
WW,7,min_elapsed,15.592726370372768,1.364758354559397,11.425265372643038,0.0014388732971685754
WW,8,min_elapsed,11.512665845663212,1.0634260173483472,10.82601484057165,0.001686100416368897
WW,9,min_elapsed,18.92825967721126,0.46398028377664585,40.795396569745364,3.241146305318182e-5
WW,10,min_elapsed,16.444903982793544,0.3230687833552769,50.90217572865645,1.669777578356693e-5
WW,11,min_elapsed,16.825679591002693,0.7060282000372803,23.83145544344298,1.619097522933603e-4
WW,12,min_elapsed,13.67930479010345,0.39400945921880903,34.71821416984507,5.254156880272639e-5
