ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,23.541309943301076,0.5254818401890672,44.79947382164713,2.4483502639588313e-5
NWd,1,2,min_elapsed,23.099531327628295,1.5089515626061143,15.308331890874637,6.054181745991633e-4
NWd,1,3,min_elapsed,12.952827123539544,1.5107883006160547,8.573555354021318,0.0033351605234499307
NWd,1,4,min_elapsed,16.91324798160116,2.470556374466538,6.845926754151968,0.006379418685158767
NWd,2,1,min_elapsed,18.925652017864763,2.2807963551046857,8.297826316456078,0.0036671144387508095
NWd,2,2,min_elapsed,14.242099367762782,1.716069934339243,8.29925347608084,0.003665286252398857
NWd,2,3,min_elapsed,17.432799867812395,3.787861975071283,4.602279592694063,0.019286629784594108
NWd,2,4,min_elapsed,24.094995543649496,1.9089187147713225,12.622326638217247,0.001072322513553366
NWd,3,1,min_elapsed,23.535517620340446,5.004607076723831,4.702770319332945,0.04236349566124365
NWd,3,2,min_elapsed,7.616748625466173,3.325997377663312,2.2900645312045738,0.14916246125352461
NWd,3,3,min_elapsed,17.200254091146405,2.3323821887645204,7.3745435778076764,0.005155118675747856
NWd,3,4,min_elapsed,26.283672983413613,0.8986313435954397,29.248560236339163,8.776729150748199e-5
Pr,1,1,min_elapsed,19.966975452581938,0.8916665621270298,22.392872291803375,1.949988993693595e-4
Pr,1,2,min_elapsed,30.136889645858584,1.2660932099626963,23.803057633289516,1.6248748763884042e-4
Pr,1,3,min_elapsed,30.9073487616078,1.022204340673496,30.235978788002395,7.946778756461181e-5
Pr,1,4,min_elapsed,24.99111547293717,0.3764350109408861,66.38892437361964,7.530594014553822e-6
Pr,2,1,min_elapsed,35.531946965157516,1.2470463365498932,28.49288428484623,9.491591471715122e-5
Pr,2,2,min_elapsed,49.53835757314133,2.067500431265945,23.960506524687226,1.5931847910861924e-4
Pr,2,3,min_elapsed,30.619357090514015,0.9290835755844538,32.956515318067545,6.140578485529648e-5
Pr,2,4,min_elapsed,60.10260869095757,1.5543404123930418,38.66759701526668,3.805261591956556e-5
Pr,3,1,min_elapsed,34.01684901931095,0.6743727031543917,50.442209271218225,1.7158302552666325e-5
Pr,3,2,min_elapsed,34.597297665241896,0.8347818135438391,41.44471897197722,3.091389111824032e-5
Pr,3,3,min_elapsed,31.381675610213836,0.5634052415027905,55.700006493564736,1.2746803797476932e-5
Pr,3,4,min_elapsed,32.43432161677092,1.985914469137643,16.33218455317217,4.994676958261253e-4
SWd,1,1,min_elapsed,22.497097316914758,3.14200518826592,7.1601082649169525,0.005610820276157773
SWd,1,2,min_elapsed,18.354313905305958,1.9869372533412413,9.237490451417765,0.002684005619856637
SWd,1,3,min_elapsed,21.907797055304876,2.4865198257478403,8.810626333420018,0.003080830232281379
SWd,1,4,min_elapsed,19.79196042065294,1.1905801429095526,16.623795162823004,4.7386151248499596e-4
SWd,2,1,min_elapsed,20.022633220369684,0.735073993037406,27.238935685418525,1.0859182839658914e-4
SWd,2,2,min_elapsed,17.257654136792183,1.7027522171997482,10.135152937973068,0.0020462801800516816
SWd,2,3,min_elapsed,12.644158428765568,1.129727423700534,11.192220498063486,0.0015289018253303427
SWd,2,4,min_elapsed,28.665394738379742,1.4993237281624507,19.118882866952042,3.12480159945157e-4
SWd,3,1,min_elapsed,25.92873967226232,0.571259371677205,45.38873401085064,2.3543343944928583e-5
SWd,3,2,min_elapsed,22.081501855462225,1.1782911358411063,18.74027664622942,3.316719852535065e-4
SWd,3,3,min_elapsed,17.80748128772263,2.374840767339756,7.498389589997723,0.004914011115218172
SWd,3,4,min_elapsed,24.263075977684256,1.3649664649906759,17.775583942899285,3.8821563478984327e-4
Wt,1,1,min_elapsed,27.607723922300906,6.3641507763233625,4.338005948100774,0.02260397893833126
Wt,1,2,min_elapsed,30.245822820405316,2.2899818161517915,13.207887768834786,9.377351248279633e-4
Wt,1,3,min_elapsed,33.85758162062468,3.137137297416054,10.792508714397657,0.0017015357098764568
Wt,1,4,min_elapsed,29.219897318167686,1.1954720995510122,24.442140748530985,1.501212498877645e-4
Wt,2,1,min_elapsed,40.075652572033306,2.0488901314684367,19.559688416924114,2.919532890054352e-4
Wt,2,2,min_elapsed,38.33313711907876,2.321347979983636,16.51330927099908,4.8335302877626474e-4
Wt,2,3,min_elapsed,44.78087595546064,1.6570114656262998,27.025085151438486,0.0013663910970067197
Wt,2,4,min_elapsed,50.98217161388765,4.4649653058691685,11.418268255493926,0.0075829414359427595
Wt,3,1,min_elapsed,17.67241103692749,4.404228956655186,4.0126004371827415,0.056862344832809476
Wt,3,2,min_elapsed,43.02603754904167,4.26131498947973,10.096892075630105,0.009666991374690868
Wt,3,3,min_elapsed,57.08963850124026,2.11675247899768,26.97038934295861,0.0013719273733144195
Wt,3,4,min_elapsed,52.13310275121461,8.56441554163411,6.087175767894547,0.025942263188245385
Wt,4,1,min_elapsed,54.64361967889321,2.551993678709834,21.412129714411524,0.002174013450705439
Wt,4,2,min_elapsed,49.77903754777182,2.8211492320615434,17.644950143738406,0.003196486777959523
Wt,4,3,min_elapsed,47.33185169439339,3.9426266790471654,12.005156852901,0.006867091033375201
Wt,4,4,min_elapsed,45.108005778793896,1.971276484926941,22.88263778506224,0.001904346084584034
