Date, PFD(µmol/m²s)
Jun 7 2023 at 6:00:00 PM, 798.98
Jun 7 2023 at 6:15:00 PM, 687.485
Jun 7 2023 at 6:30:00 PM, 604.113
Jun 7 2023 at 6:45:00 PM, 511.398
Jun 7 2023 at 7:00:00 PM, 413.88
Jun 7 2023 at 7:15:00 PM, 321.478
Jun 7 2023 at 7:30:00 PM, 233.73
Jun 7 2023 at 7:45:00 PM, 155.215
Jun 7 2023 at 8:00:00 PM, 93.42
Jun 7 2023 at 8:15:00 PM, 46.144
Jun 7 2023 at 8:30:00 PM, 13.49
Jun 7 2023 at 8:45:00 PM, 3.328
Jun 7 2023 at 9:00:00 PM, 0.402
Jun 7 2023 at 9:15:00 PM, 0.149
Jun 7 2023 at 9:30:00 PM, 0.064
Jun 7 2023 at 9:45:00 PM, 0.124
Jun 7 2023 at 10:00:00 PM, 0.189
Jun 7 2023 at 10:15:00 PM, 0.074
Jun 7 2023 at 10:30:00 PM, 0.129
Jun 7 2023 at 10:45:00 PM, 0.07
Jun 7 2023 at 11:00:00 PM, 0.189
Jun 7 2023 at 11:15:00 PM, 0.164
Jun 7 2023 at 11:30:00 PM, 0.124
Jun 7 2023 at 11:45:00 PM, 0.07
Jun 8 2023 at 12:00:00 AM, 0.224
Jun 8 2023 at 12:15:00 AM, 0.05
Jun 8 2023 at 12:30:00 AM, 0.159
Jun 8 2023 at 12:45:00 AM, 0.199
Jun 8 2023 at 1:00:00 AM, 0.099
Jun 8 2023 at 1:15:00 AM, -0.02
Jun 8 2023 at 1:30:00 AM, 0.089
Jun 8 2023 at 1:45:00 AM, -0.089
Jun 8 2023 at 2:00:00 AM, 0.005
Jun 8 2023 at 2:15:00 AM, 0.174
Jun 8 2023 at 2:30:00 AM, 0.035
Jun 8 2023 at 2:45:00 AM, 0.094
Jun 8 2023 at 3:00:00 AM, 0.064
Jun 8 2023 at 3:15:00 AM, 0.099
Jun 8 2023 at 3:30:00 AM, 0.164
Jun 8 2023 at 3:45:00 AM, -0.074
Jun 8 2023 at 4:00:00 AM, 0.045
Jun 8 2023 at 4:15:00 AM, 0.02
Jun 8 2023 at 4:30:00 AM, 0.179
Jun 8 2023 at 4:45:00 AM, -0.03
Jun 8 2023 at 5:00:00 AM, 0.243
Jun 8 2023 at 5:15:00 AM, 3.144
Jun 8 2023 at 5:30:00 AM, 16.346
Jun 8 2023 at 5:45:00 AM, 48.349
Jun 8 2023 at 6:00:00 AM, 89.72
Jun 8 2023 at 6:15:00 AM, 144.412
Jun 8 2023 at 6:30:00 AM, 166.655
Jun 8 2023 at 6:45:00 AM, 199.81
Jun 8 2023 at 7:00:00 AM, 265.732
Jun 8 2023 at 7:15:00 AM, 255.962
Jun 8 2023 at 7:30:00 AM, 677.978
Jun 8 2023 at 7:45:00 AM, 876.571
Jun 8 2023 at 8:00:00 AM, 1012.454
Jun 8 2023 at 8:15:00 AM, 1143.555
Jun 8 2023 at 8:30:00 AM, 1274.71
Jun 8 2023 at 8:45:00 AM, 1411.358
Jun 8 2023 at 9:00:00 AM, 1535.341
Jun 8 2023 at 9:15:00 AM, 1666.59
Jun 8 2023 at 9:30:00 AM, 1778.672
Jun 8 2023 at 9:45:00 AM, 1892.139
Jun 8 2023 at 10:00:00 AM, 2001.449
Jun 8 2023 at 10:15:00 AM, 2089.361
Jun 8 2023 at 10:30:00 AM, 2141.034
Jun 8 2023 at 10:45:00 AM, 2258.663
Jun 8 2023 at 11:00:00 AM, 2338.986
Jun 8 2023 at 11:15:00 AM, 2394.592
Jun 8 2023 at 11:30:00 AM, 2360.408
Jun 8 2023 at 11:45:00 AM, 2487.332
Jun 8 2023 at 12:00:00 PM, 2569.298
Jun 8 2023 at 12:15:00 PM, 2609.476
Jun 8 2023 at 12:30:00 PM, 2609.725
Jun 8 2023 at 12:45:00 PM, 2604.559
Jun 8 2023 at 1:00:00 PM, 2570.51
Jun 8 2023 at 1:15:00 PM, 2575.119
Jun 8 2023 at 1:30:00 PM, 2546.862
Jun 8 2023 at 1:45:00 PM, 2536.496
Jun 8 2023 at 2:00:00 PM, 2509.798
Jun 8 2023 at 2:15:00 PM, 2453.268
Jun 8 2023 at 2:30:00 PM, 2387.241
Jun 8 2023 at 2:45:00 PM, 2342.989
Jun 8 2023 at 3:00:00 PM, 2238.209
Jun 8 2023 at 3:15:00 PM, 2164.741
Jun 8 2023 at 3:30:00 PM, 2089.083
Jun 8 2023 at 3:45:00 PM, 1985.297
Jun 8 2023 at 4:00:00 PM, 1903.931
Jun 8 2023 at 4:15:00 PM, 1798.406
Jun 8 2023 at 4:30:00 PM, 1697.267
Jun 8 2023 at 4:45:00 PM, 1581.977
Jun 8 2023 at 5:00:00 PM, 1455.228
Jun 8 2023 at 5:15:00 PM, 1309.703
Jun 8 2023 at 5:30:00 PM, 1174.559
Jun 8 2023 at 5:45:00 PM, 1046.086
Jun 8 2023 at 6:00:00 PM, 917.693
Jun 8 2023 at 6:15:00 PM, 798.27
Jun 8 2023 at 6:30:00 PM, 677.789
Jun 8 2023 at 6:45:00 PM, 553.603
Jun 8 2023 at 7:00:00 PM, 462.016
Jun 8 2023 at 7:15:00 PM, 372.137
Jun 8 2023 at 7:30:00 PM, 278.388
Jun 8 2023 at 7:45:00 PM, 186.299
Jun 8 2023 at 8:00:00 PM, 111.754
Jun 8 2023 at 8:15:00 PM, 54.737
Jun 8 2023 at 8:30:00 PM, 18.468
Jun 8 2023 at 8:45:00 PM, 4.545
Jun 8 2023 at 9:00:00 PM, 0.571
Jun 8 2023 at 9:15:00 PM, 0.119
Jun 8 2023 at 9:30:00 PM, -0.094
Jun 8 2023 at 9:45:00 PM, -0.025
Jun 8 2023 at 10:00:00 PM, 0.154
Jun 8 2023 at 10:15:00 PM, 0.079
Jun 8 2023 at 10:30:00 PM, 0.114
Jun 8 2023 at 10:45:00 PM, -0.015
Jun 8 2023 at 11:00:00 PM, 0.253
Jun 8 2023 at 11:15:00 PM, 0.169
Jun 8 2023 at 11:30:00 PM, 0.109
Jun 8 2023 at 11:45:00 PM, 0.134
Jun 9 2023 at 12:00:00 AM, 0.07
Jun 9 2023 at 12:15:00 AM, 0.03
Jun 9 2023 at 12:30:00 AM, -0.005
Jun 9 2023 at 12:45:00 AM, 0.204
Jun 9 2023 at 1:00:00 AM, 0.055
Jun 9 2023 at 1:15:00 AM, -0.005
Jun 9 2023 at 1:30:00 AM, 0.079
Jun 9 2023 at 1:45:00 AM, 0.07
Jun 9 2023 at 2:00:00 AM, 0.139
Jun 9 2023 at 2:15:00 AM, 0.288
Jun 9 2023 at 2:30:00 AM, -0.015
Jun 9 2023 at 2:45:00 AM, 0.064
Jun 9 2023 at 3:00:00 AM, 0.025
Jun 9 2023 at 3:15:00 AM, -0.015
Jun 9 2023 at 3:30:00 AM, 0.104
Jun 9 2023 at 3:45:00 AM, 0.074
Jun 9 2023 at 4:00:00 AM, -0.045
Jun 9 2023 at 4:15:00 AM, -0.005
Jun 9 2023 at 4:30:00 AM, 0.159
Jun 9 2023 at 4:45:00 AM, 0.03
Jun 9 2023 at 5:00:00 AM, 0.467
Jun 9 2023 at 5:15:00 AM, 3.849
Jun 9 2023 at 5:30:00 AM, 16.903
Jun 9 2023 at 5:45:00 AM, 43.154
Jun 9 2023 at 6:00:00 AM, 76.478
Jun 9 2023 at 6:15:00 AM, 127.107
Jun 9 2023 at 6:30:00 AM, 139.962
Jun 9 2023 at 6:45:00 AM, 168.622
Jun 9 2023 at 7:00:00 AM, 231.991
Jun 9 2023 at 7:15:00 AM, 218.66
Jun 9 2023 at 7:30:00 AM, 710.994
Jun 9 2023 at 7:45:00 AM, 891.566
Jun 9 2023 at 8:00:00 AM, 1019.443
Jun 9 2023 at 8:15:00 AM, 1147.618
Jun 9 2023 at 8:30:00 AM, 1284.793
Jun 9 2023 at 8:45:00 AM, 1427.879
Jun 9 2023 at 9:00:00 AM, 1555.428
Jun 9 2023 at 9:15:00 AM, 1686.066
Jun 9 2023 at 9:30:00 AM, 1824.965
Jun 9 2023 at 9:45:00 AM, 1946.509
Jun 9 2023 at 10:00:00 AM, 1923.238
Jun 9 2023 at 10:15:00 AM, 1962.503
Jun 9 2023 at 10:30:00 AM, 1989.623
Jun 9 2023 at 10:45:00 AM, 2074.142
Jun 9 2023 at 11:00:00 AM, 2370.238
