ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWdP,1,1,min_elapsed,-1.6922206230938939,1.0177833129886575,-1.6626531418802624,0.23827739446880813
NWdP,1,2,min_elapsed,1.169798118040204,0.8767056188463769,1.3343111905447762,0.3137394484195394
NWdP,2,1,min_elapsed,4.260051939315337,2.411216240196161,1.766764783804196,0.21930403500899018
NWdP,2,2,min_elapsed,6.194178759130743,2.362821436869116,2.6215179287260963,0.119897314059761
NWdP,3,1,min_elapsed,4.964348910479072,1.4153765948116803,3.5074403015259636,0.07255147723561792
NWdP,3,2,min_elapsed,5.451859509837942,1.2101028862306409,4.5052859321904295,0.04590133982687732
PrP,1,1,min_elapsed,3.926002985982017,0.8722122724310309,4.501201267255111,0.04597902481499488
PrP,1,2,min_elapsed,7.096012896248995,1.0882045721406395,6.520844589257898,0.022719182064974128
PrP,2,1,min_elapsed,1.5365439829420249,1.8716203631479158,0.8209699003048251,0.4979497159275259
PrP,2,2,min_elapsed,6.394802830671607,1.5795649318753584,4.048458345475736,0.05594209365171446
PrP,3,1,min_elapsed,0.4092697571036029,0.30347172061108557,1.3486256850538734,0.3098738752122099
PrP,3,2,min_elapsed,6.792554347385517,3.378615145056238,2.0104551882225263,0.18208805568803216
SWdP,1,1,min_elapsed,2.501698690921716,1.3505505023174953,1.852354789124059,0.205167632292456
SWdP,1,2,min_elapsed,7.918957987307713,1.892251591787646,4.184939265833315,0.052631015812960834
SWdP,2,1,min_elapsed,7.648452306469256,1.4336643532382642,5.334897452945278,0.033386035827531683
SWdP,2,2,min_elapsed,5.7346148159010175,2.1507152980195836,2.6663756105615426,0.11656896063756081
SWdP,3,1,min_elapsed,2.8884118175549016,1.8367487171479036,1.5725677609510007,0.2564478970844089
SWdP,3,2,min_elapsed,7.540690318291266,0.7689697077499971,9.806225449836381,0.010239660851000719
WtP,1,1,min_elapsed,7.526770099384087,3.8133999722298384,1.9737688556658013,0.18712032444648435
WtP,1,2,min_elapsed,8.78333414443576,1.8319622403965237,4.794495187048522,0.04085508494222854
WtP,2,1,min_elapsed,9.520442987745273,1.4042680853037794,6.77964776624953,0.021071129829802963
WtP,2,2,min_elapsed,7.694179150732294,1.410281190742841,5.455776621880293,0.03199245447490922
WtP,3,1,min_elapsed,7.786719588489562,3.4547678987457964,2.253905274306971,0.15293584971645474
WtP,3,2,min_elapsed,12.405570467508504,2.9128835766298873,4.258862443744268,0.0509558364382845
WtP,4,1,min_elapsed,5.635658799669569,2.978947103621382,1.891829093849479,0.19905435336844907
WtP,4,2,min_elapsed,4.61410487614772,2.111138234766196,2.185600544844815,0.16043009603872996
