ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,-4.4300887163365555e-4,0.0019599923522962658,-0.22602581643476324,0.8421785843241949
NWd,1,2,min_elapsed,-0.00370683541539557,0.0015797708309103864,-2.346438700390109,0.14353138202108096
NWd,1,3,min_elapsed,-0.0026628134501540807,9.24712036110742e-4,-2.8796137026112922,0.06354906295494274
NWd,1,4,min_elapsed,-0.003813740071987094,0.005031771266653442,-0.7579319229515687,0.5035935318480005
NWd,2,1,min_elapsed,-0.005639471274233687,0.005957625573307793,-0.946597130826827,0.4136787748730396
NWd,2,2,min_elapsed,-0.004979852168429374,0.004083549542471614,-1.21949106203699,0.30978941512219266
NWd,2,3,min_elapsed,-0.0021670262755442925,8.136112942257306e-4,-2.6634663148408393,0.07611318310545792
NWd,2,4,min_elapsed,-0.0014460796191709268,5.979579415326675e-4,-2.4183634311543383,0.13676559239931382
NWd,3,1,min_elapsed,-0.005982146893903565,0.002330010353815291,-2.56743360994429,0.08267743109922057
NWd,3,2,min_elapsed,9.202736049946074e-4,0.0018080244532481153,0.5089940035608125,0.6458301043310982
NWd,3,3,min_elapsed,-0.0020649825756594627,0.0011668412595621854,-1.7697202243553438,0.17491576173991064
NWd,3,4,min_elapsed,-0.005989362522445921,0.0037016100728425876,-1.6180425286790119,0.20408323981277998
Pr,1,1,min_elapsed,-6.306590546885158e-4,8.04442922704256e-4,-0.7839699211579366,0.5151626845103858
Pr,1,2,min_elapsed,-1.2494349268575295e-4,3.941237147673306e-4,-0.3170159216618388,0.7812642219735036
Pr,1,3,min_elapsed,-0.006197462125835077,0.0030678478251701335,-2.0201334873874925,0.1807909648797776
Pr,1,4,min_elapsed,-9.919076866853714e-5,5.964818202923886e-4,-0.16629302904808557,0.8832176562431107
Pr,2,1,min_elapsed,-1.8224576849470528e-4,0.0014474729630481566,-0.12590616415447484,0.9113216442375869
Pr,2,2,min_elapsed,-7.661769697577535e-4,9.197502638204496e-5,-8.330271812863801,0.014106386478996083
Pr,2,3,min_elapsed,-0.003740534202711761,0.0016773737073748102,-2.2299945362598534,0.15550352839839693
Pr,2,4,min_elapsed,-7.318332173693186e-4,7.782726592793174e-4,-0.9403301126458664,0.44631074235313695
Pr,3,1,min_elapsed,-0.006226509084410623,0.0027278962056292385,-2.282531524315958,0.1066864373870494
Pr,3,2,min_elapsed,-0.002385189303206762,0.0018900576732624472,-1.2619664134849722,0.2961511118113797
Pr,3,3,min_elapsed,-0.007998965536173942,0.0035032835697502676,-2.2832766394483306,0.10661333115067444
Pr,3,4,min_elapsed,-0.003988545754217073,0.0013415277082921306,-2.9731370657224834,0.0589198299786033
SWd,1,1,min_elapsed,5.292328166498992e-4,0.002637500885932337,0.2006569246943852,0.8538000857016386
SWd,1,2,min_elapsed,5.17327426682369e-4,0.0018338509577650575,0.28209894838610217,0.796209459493564
SWd,1,3,min_elapsed,-0.004002656598544721,0.005209793523322155,-0.7682946705328021,0.49825117614720127
SWd,1,4,min_elapsed,-0.002037529517890655,8.330335906188904e-4,-2.4459151957808825,0.09201364534352248
SWd,2,1,min_elapsed,-0.0013074022223257666,5.947852400890093e-4,-2.1981080467466114,0.15902069136396674
SWd,2,2,min_elapsed,-1.2317183040508103e-4,3.407214482559011e-4,-0.3615030137831887,0.7523420029351315
SWd,2,3,min_elapsed,-2.1197242031529872e-5,0.0016088383763322165,-0.013175495030056864,0.9906839224130074
