ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,-0.04720599813317407,0.03182278775586866,-1.483402349766434,0.2762153453628805
NWd,1,2,min_elapsed,-0.045009455433712,0.018165807506194672,-2.4777018813154026,0.1315129442912573
NWd,1,3,min_elapsed,-0.05394697490198416,0.014466638823639228,-3.7290607417275146,0.03359656480935463
NWd,1,4,min_elapsed,-0.05035519278473842,0.009015197418857621,-5.5855895822544595,0.011331577401706603
NWd,2,1,min_elapsed,-0.04149240849355785,0.010687354108598012,-3.8823836163692813,0.03027511598665695
NWd,2,2,min_elapsed,-0.042027784158328224,0.009330467164136606,-4.504360116058269,0.02043713880880477
NWd,2,3,min_elapsed,-0.03638037490052747,0.009576479949651532,-3.7989297833648448,0.03202787926761337
NWd,2,4,min_elapsed,-0.04373816911976344,0.011130090295545271,-3.9297227568108135,0.05907545996352825
NWd,3,1,min_elapsed,-0.03889637024209461,0.011890193325234432,-3.2712983866751144,0.04673124255187014
NWd,3,2,min_elapsed,-0.044235551909907266,0.01169664467151682,-3.7819009769209995,0.0324014036449774
NWd,3,3,min_elapsed,-0.04212718171067493,0.010119728046605337,-4.162876859601626,0.025217419416599943
NWd,3,4,min_elapsed,-0.03339058656825453,0.011918252325844748,-2.8016344725180042,0.0677609520295559
Pr,1,1,min_elapsed,-0.03410210980260241,0.01422996555528957,-2.3964998137276554,0.138774574769343
Pr,1,2,min_elapsed,-0.03273587206323609,0.013772218140664332,-2.3769498659463584,0.14060582097278115
Pr,1,3,min_elapsed,-0.021491504940740216,0.008809502139722798,-2.439582237438048,0.13485430380745264
Pr,1,4,min_elapsed,-0.025850425094289392,0.01087961797809468,-2.3760416171171954,0.14069170964057426
Pr,2,1,min_elapsed,-0.031322040729729904,0.010775641696493447,-2.906744824294089,0.10077969609577403
Pr,2,2,min_elapsed,-0.03154389095815401,0.01226388243369929,-2.572096652808427,0.12372085847723484
Pr,2,3,min_elapsed,-0.02840419901969707,0.010872363501202405,-2.6125137387611965,0.12058146444158459
Pr,2,4,min_elapsed,-0.024395802106003037,0.010569317183794535,-2.3081720116610787,0.1473209871213702
Pr,3,1,min_elapsed,-0.03364651821647245,0.013061826704866244,-2.5759427817195957,0.08206830011447666
Pr,3,2,min_elapsed,-0.03229309897683189,0.010565191556897023,-3.0565559368160016,0.05514236607431422
Pr,3,3,min_elapsed,-0.030908977779248482,0.006886609186022399,-4.4882723767719765,0.02063460078179111
Pr,3,4,min_elapsed,-0.03202835077356172,0.004522490320146946,-7.082016434812633,0.005789935810250782
SWd,1,1,min_elapsed,-0.030228689877215997,0.010677808671360553,-2.8309825365473884,0.06613606329252028
SWd,1,2,min_elapsed,-0.037384983967443865,0.00901108112421905,-4.148778981354898,0.02544440713928177
SWd,1,3,min_elapsed,-0.031594998969170555,0.008033606982619622,-3.9328534539373208,0.029274627887494097
SWd,1,4,min_elapsed,-0.03762014170112529,0.009825803612986109,-3.8287088957696307,0.03138784864494811
SWd,2,1,min_elapsed,-0.037527307496582535,0.010775985572272996,-3.4824942224441786,0.0734824332680339
SWd,2,2,min_elapsed,-0.03478638863511644,0.010280971439977459,-3.3835702042561757,0.07734889951744421
SWd,2,3,min_elapsed,-0.03396154841653724,0.012852748589091974,-2.642356860956585,0.11833471388549464
SWd,2,4,min_elapsed,-0.02769927867149957,0.011146572950662773,-2.485004027166267,0.13088607527249727
SWd,3,1,min_elapsed,-0.03249601414745185,0.004957554891692238,-6.55484706824083,0.022491959220924708
SWd,3,2,min_elapsed,-0.030465182961540882,0.010247137690369584,-2.973043193337055,0.09696019372807899
SWd,3,3,min_elapsed,-0.03235334654914202,0.0068931113039534045,-4.693576691643789,0.042519173484981014
SWd,3,4,min_elapsed,-0.031240474879524506,0.00786644035581847,-3.9713610561373236,0.05794820704476405
Wt,1,1,min_elapsed,-0.03922921065007724,0.008762401025235754,-4.476993296368991,0.02077451735514786
Wt,1,2,min_elapsed,-0.03265910664790623,0.010457992065158886,-3.1228850093232543,0.05235399828893369
Wt,1,3,min_elapsed,-0.032283183422586875,0.008109854160187207,-3.9807353849926264,0.028364395790819747
Wt,1,4,min_elapsed,-0.027279566464234822,0.009295791116680916,-2.9346148296386265,0.060773707959625764
Wt,2,1,min_elapsed,-0.03274840528181858,0.012011150210468838,-2.7265003524204774,0.07215300316803745
Wt,2,2,min_elapsed,-0.036150328915154135,0.013296856877452573,-2.718712342948814,0.0726282319161452
Wt,2,3,min_elapsed,NA,NA,NA,NA
Wt,2,4,min_elapsed,-0.02811500722757603,0.010054171869705999,-2.7963523591921806,0.0680586620698046
Wt,3,1,min_elapsed,-0.02457046407840868,0.0052303496672821805,-4.697671406580375,0.01824536531272407
Wt,3,2,min_elapsed,-0.027409159258204047,0.008788849162114937,-3.1186289299802183,0.052527507666259236
Wt,3,3,min_elapsed,-0.03192178867573116,0.01059218185272722,-3.013712294555451,0.0947184519317644
Wt,3,4,min_elapsed,-0.02669450663553934,0.00587766237577544,-4.541687652145473,0.04521743983273061
Wt,4,1,min_elapsed,-0.031953520089206267,0.013428864074668296,-2.3794655982468527,0.1403682996816666
Wt,4,2,min_elapsed,-0.03226659436276049,0.010099807220405228,-3.194773292065458,0.08558549075707098
Wt,4,3,min_elapsed,-0.027453309116872646,0.010456984047017509,-2.6253563162604947,0.11960732477797793
Wt,4,4,min_elapsed,-0.03009391011181249,0.007019067166160867,-4.287451508783978,0.05032881465528375
